ID;Species;Interaction;Longitude;Latitude;Year_collect
169;Aglae_caerulea;parasite;-64.053056;-8.875;2012
173;Aglae_caerulea;parasite;-47.60875;-14.31519;2012
184;Aglae_caerulea;parasite;-48.47378;-16.43553;2012
199;Aglae_caerulea;parasite;-74.198639;6.021694;2007
250;Aglae_caerulea;parasite;-46.011094;-1.250261;2014
299;Aglae_caerulea;parasite;-45.534;-6.3756;2013
313;Aglae_caerulea;parasite;-63.636;-17.516;2008
318;Aglae_caerulea;parasite;-76.583;-6.043;2008
321;Aglae_caerulea;parasite;-74.192;-8.09;2008
325;Aglae_caerulea;parasite;-76.95;3.766667;1997
352;Aglae_caerulea;parasite;-48.477435;-14.64332;2020
370;Aglae_caerulea;parasite;-48.61614;-16.693683;2018
378;Aglae_caerulea;parasite;-48.782637;-16.232645;2022
21;Eufriesea_auriceps;host;-41.09194444;-16.35;2009
53;Eufriesea_auriceps;host;-42.83333333;-10.8;1996
66;Eufriesea_auriceps;host;-42.88194444;-20.75388889;1989
67;Eufriesea_auriceps;host;-43.92888889;-21.20666667;2011
76;Eufriesea_auriceps;host;-47.24;-20.77;1999
87;Eufriesea_auriceps;host;-48.3;-19;2004
92;Eufriesea_auriceps;host;-40.3625;-10.46472222;2010
94;Eufriesea_auriceps;host;-38.93;-4.256388889;2010
102;Eufriesea_auriceps;host;-51.25;-23.45;1999
157;Eufriesea_auriceps;host;-45.070972;-23.540278;2009
170;Eufriesea_auriceps;host;-43.570278;-18.205556;2011
171;Eufriesea_auriceps;host;-43.567778;-18.194722;2011
172;Eufriesea_auriceps;host;-47.871;-14.9009;2012
173;Eufriesea_auriceps;host;-47.60875;-14.31519;2012
174;Eufriesea_auriceps;host;-50.9018;-14.9467;2012
175;Eufriesea_auriceps;host;-47.34786;-16.81217;2012
176;Eufriesea_auriceps;host;-47.71669444;-16.2315;2012
177;Eufriesea_auriceps;host;-48.61775;-14.26528;2012
178;Eufriesea_auriceps;host;-46.86842;-13.85269;2012
179;Eufriesea_auriceps;host;-46.86842;-13.85269;2012
182;Eufriesea_auriceps;host;-49.83806;-15.07789;2012
184;Eufriesea_auriceps;host;-48.47378;-16.43553;2012
192;Eufriesea_auriceps;host;-47.48;-20.248611;1990
196;Eufriesea_auriceps;host;-43.903333;-19.948611;2002
214;Eufriesea_auriceps;host;-43.34207;-18.116311;2012
226;Eufriesea_auriceps;host;-51.130833;-0.050556;2012
249;Eufriesea_auriceps;host;-54.453056;-25.6245;2014
261;Eufriesea_auriceps;host;-41.8878;-20.936456;2020
262;Eufriesea_auriceps;host;-41.854842;-20.933833;2020
263;Eufriesea_auriceps;host;-41.874528;-20.900431;2020
265;Eufriesea_auriceps;host;-41.836561;-20.917528;2020
275;Eufriesea_auriceps;host;-41.508543;-20.755771;2020
278;Eufriesea_auriceps;host;-43.346139;-18.090194;2014
300;Eufriesea_auriceps;host;-45.5358;-6.3832;2013
303;Eufriesea_auriceps;host;-55.331111;-26.008056;2014
307;Eufriesea_auriceps;host;-55.308056;-26.083611;2014
308;Eufriesea_auriceps;host;-54.84;-26.244722;2014
348;Eufriesea_auriceps;host;-48.392574;-14.708453;2020
354;Eufriesea_auriceps;host;-48.427159;-14.650908;2020
355;Eufriesea_auriceps;host;-48.459192;-14.571565;2020
357;Eufriesea_auriceps;host;-48.686099;-16.593084;2018
359;Eufriesea_auriceps;host;-48.702863;-16.627408;2018
